pH;Dureza;Sólidos;Cloraminas;Sulfatos;Conductividad;Carbono_orgánico;Trihalometanos;Turbidez;Potabilidad
6.79;271.6;14348.57;9.92;368.84;610.63;9.39;91.4;3.44;SI
6.98;175.42;35701.16;5.49;290.05;401.06;10.29;66.42;5.26;SI
7.42;203.32;40148.12;5.6;256.59;401.78;9.03;53.02;4.49;SI
6.51;226.42;16982.13;6.94;318.25;484.09;18.53;80.46;2.89;SI
6.62;174.28;33245.63;7.02;326.17;479.92;15.92;60.34;4.6;SI
6.77;178.33;16980.26;7.05;369.91;299.4;18.7;62.87;3.85;SI
6.34;139.96;18058.32;8.36;417.6;347.46;13.31;58.22;4.02;SI
7.06;191.55;16473.07;8.44;367.85;462.99;12.57;17.53;3.94;SI
7.54;258.49;26999.38;7;266.8;352.2;14.65;59.16;5.43;SI
;163.17;36525.55;5.51;284.62;522.6;14.4;78.87;4.65;SI
7.49;198.97;6873.56;8.53;;440.47;11.05;60.94;3.72;SI
6.04;227.03;12988.79;8.48;392.38;306.39;7.12;41.19;3.59;SI
;158.7;8721.23;8.1;425.71;471.07;15.35;74.89;3.39;SI
6.71;232.93;27881.5;7.88;337.11;443.21;14.52;64.12;4.37;SI
;156.39;26885.83;4.89;291.92;554.22;14.28;53.48;4.71;SI
;186.37;7557.02;9.45;406.04;288.37;12.86;72.19;4.12;SI
6.76;218.15;22540.78;7.2;304.68;382.5;18.84;53.82;3.64;SI
7.49;151.2;31130.21;4.58;;351.58;18.94;53.14;2.75;NO
6.9;228.96;10836.97;7.79;362.3;513.19;12.7;40.55;4.14;NO
;155.26;42617.3;5.83;449.27;456.19;20.68;77.14;2.85;NO
7.35;267.66;15818.26;10.57;;541.76;13.41;54.62;4.73;NO
7.85;224.06;23264.11;5.92;300.4;387.97;13.41;43.08;2.49;NO
;229.62;19955.71;7.61;285.43;491.88;11.03;85.24;3.11;NO
6.18;248.83;15391.56;8.01;273.09;487.63;9.7;69.7;3.7;NO
6.76;209.36;13821.56;7.56;334.62;499.07;19.34;81.1;3.96;NO
;213.65;28266.76;3.63;;483.8;15.74;78.81;4.31;NO
7.27;98.45;36490.14;7.14;423.19;502.88;7.36;76.29;4.95;NO
8.22;116.06;22465.69;5;;408.36;6.73;90.99;4.25;NO
6.98;164.13;17625.47;6.48;372.75;492.7;11.67;48.71;3.97;NO
6.38;235.95;18982.95;8.29;;511.49;16.18;77.84;3.3;NO
6.65;191.84;15176.29;5.66;;471.05;15.44;56.53;3.83;NO
5.9;205.91;30379.36;9.45;312.28;512.34;6.31;55.07;3.86;NO
7.26;189.08;21391.16;6.58;356.62;390.29;14.39;81.08;4.38;NO
5.58;223.37;14553.13;9.69;234.61;252.97;12.25;59.52;4.29;NO
5.47;197.03;12883.16;9.26;347.42;355.18;12.76;67.16;3.72;NO
6.09;216.74;12558.9;9.3;317.98;409.43;10.75;30.97;2.94;NO
8.21;145.8;17981.25;6.58;359.39;420.39;15.86;100.71;3.74;NO
7.67;123.34;33843.62;5.22;390.75;462.97;18.7;82.9;3.93;NO
6.79;209.13;20149.18;5.8;288.36;291.3;12.33;57.3;3.08;NO
6.01;226.87;20279.7;8.17;225.52;275.99;9.65;52.64;4.03;NO
;204.38;32951.32;6;324.51;339.64;4.47;71.19;4.91;NO
6.34;214.07;14619.63;6.58;316;370.8;12.22;83.67;3.79;NO
7.47;223.26;19932.59;5.77;317.71;590.33;13.56;89.45;3.88;NO
;214.19;21671.28;8.27;;473.42;15.71;73.17;4.25;NO
7.38;237.92;16862.54;7.1;306.18;478.65;13.25;92.86;5.03;NO
10.07;144.61;39716.13;4.5;390.91;415.05;17.66;;3.78;NO
5.92;274.26;6967.74;10.07;247.65;321.24;12.09;39.45;2.59;NO
;171.7;38971.05;8.37;385.95;397.44;17.2;73.65;2.64;NO
6.12;151.69;15092.02;6.61;382.32;388.14;16.62;69.17;4.21;NO
;137.25;20593.93;3.96;393.68;520.41;19.25;50.03;3.3;NO
7.88;250.9;15741.08;8.08;;391.26;16.54;59.25;3.91;NO
6.02;178.22;18966.36;10.21;;400.57;12.84;60.87;4.66;NO
;193.17;20894.4;7.33;359.43;417.42;16.79;38.11;3.82;NO
;166.7;14807.41;6.8;269.71;536.34;13.84;77.55;3.43;NO
6.59;166.97;30210.25;9.51;340.25;430.08;23.23;72.8;4.28;NO
6.34;157.05;21079.61;7.28;318.85;351.02;14.02;64.41;4.58;NO
6.63;238.32;12829.09;7.35;331.3;451.73;19.64;73.2;4.36;NO
5.4;197.92;9968.96;7.88;;503.9;17.41;77.38;3.56;NO
7.46;221.34;25480.92;6.93;;438.62;13.09;58.08;2.41;NO
6.71;148.25;20922.15;4.63;;400.34;18.33;40.5;1.69;NO
8.05;239.14;28545.36;5.1;;574.4;17.78;56.35;3.52;NO
5.37;238.29;16262.94;7.51;255.54;393.53;12.47;27.1;3.18;NO
6.92;252.35;11086.26;9.99;285.74;368.63;17.12;43.67;3.28;NO
7.03;184.48;31659.96;5.23;;559;14.39;56.29;2.93;NO
7.97;173.75;26848.63;6.06;337.94;347.75;13.76;75.54;3.2;NO
8.03;222.63;18134.84;8.75;314.47;452.97;12.07;78.55;3.34;NO
7.61;213.69;17598.2;8.13;;384.09;5.05;70.83;3.44;NO
7.64;209.86;21885.5;9.53;;337.63;8.86;63.65;3.76;NO
7.73;169.05;38356.23;6.03;297.33;525.88;16.07;74.91;5.16;NO
6.27;154.68;23050.33;6.83;290.7;421.22;13.88;65.89;3.39;NO
7.37;155.64;19283.4;5.44;399.94;391.32;18.15;63.7;3.82;NO
;241.18;25696.32;5.69;333.9;386.3;14.53;33.92;4.14;NO
6.32;165.82;20481.64;7.61;354.29;422.34;14.79;46.04;2.73;NO
7.29;205.21;26115.62;5.14;357.79;402.87;7.96;63.7;4.7;NO
6.36;164.62;17538.54;8.35;345.14;430.96;15.33;47.02;3.42;NO
7.97;160.22;29477.76;2.46;324.06;371.21;18.69;54.28;4.07;NO
4.94;267.53;11870.42;8.88;;417.41;15.25;22.75;5.07;NO
7.7;220.57;29432.21;6.36;322.75;444.96;13.03;77.83;3.79;NO
6.05;228.2;10215.81;5.98;306.8;441.5;17.23;65.34;4.89;NO
4.22;120.56;34370.2;7.96;411.58;436.77;14.4;64.6;4.28;NO
8.55;255.32;31056.58;3.62;;426.88;13.78;34.45;5.04;NO
7.75;182.06;13655.68;6.82;337.75;328.22;15.23;92.26;4.73;NO
5.59;220.82;8730.31;8.32;300.22;412.71;6.48;80.64;3.17;NO
8.65;178.59;18503.77;7.24;356.26;329.5;15.28;83.78;3.08;NO
7.9;187.7;32210.82;5;320.53;400.15;19.87;46.91;4.45;NO
5.95;136.89;28105.96;7.33;389.81;423.96;15.37;68.97;4.77;NO
8.04;201.81;11861.55;7.2;300.4;420.55;7.17;90.76;3.22;NO
4.31;191.12;12770.83;8.23;284.95;499.85;13.5;76.44;3.92;NO
6.71;209.78;14794.41;7.81;;553.64;8.03;78.24;3.17;NO
5.85;186.81;19790.86;6.62;;489.8;19.67;65.04;3.76;NO
8.82;175.75;23173.32;6.73;367.15;552.07;7.73;91.44;3.86;NO
;171.43;39207.59;4.71;354.44;381.69;20.21;97.42;2.81;NO
;193.58;19671.35;7.57;342.67;322.74;18.51;77.71;3.48;NO
7.48;246.18;27109.9;9.79;341.16;339.73;16.22;77.6;3.48;NO
7.69;155.19;36578.22;7.69;405.17;536.89;16.21;77.58;4.04;NO
7.37;176.34;16663.6;8.06;;354.76;10.68;37.36;3.82;NO
8.93;188.05;22139.88;4.25;376.33;438.52;8.6;92.83;5.47;NO
5.62;221.65;11123.89;8.81;314.87;326.35;19.31;84.38;3.44;NO
6.45;201.6;27682.51;5.66;316.11;573.03;14.64;;5.24;NO
7.57;205.4;30823.73;7.82;354.18;395.3;12.1;63.77;3.28;NO
6.12;240.98;15765.79;10.09;339.4;407.32;21.31;63.07;3.72;NO
7.6;188.37;32869.47;6.75;365.21;326.63;13.88;73.44;3.5;NO
;279.23;11380.3;8.59;314.16;467.63;10.88;68.98;3.26;NO
7.13;165.91;18969.82;7.69;;510.98;16.43;47.14;4.71;NO
7.4;258.02;18535.05;5.5;339.84;354.67;14.98;73.01;3.8;NO
7;168.95;20518.56;10.14;;457.65;9.81;56.92;3.35;NO
5.35;238.51;10315.35;7.82;281.77;496.35;12.62;87.34;2.36;NO
6.19;174.8;22198.93;7.61;;479.09;13.74;51.5;5.21;NO
6.07;161.53;26764.49;6.24;;485.87;18.78;81.95;4.7;NO
7.1;196.73;30235.17;5.98;308.2;453.95;16.06;31.56;4.86;NO
;189.76;16737.11;7.03;;410.48;14.55;60.14;3.09;NO
3.93;191.67;17328.16;7.69;306.48;406.09;9.58;45.48;5.06;NO
6.35;244.85;13858.7;9.18;;403.56;12.52;59.05;4.16;NO
6;219.72;19345.79;6.03;264.29;497.48;16.38;46.3;5.05;NO
8.9;208.11;17915.09;4.79;334.57;381.16;14.4;48.3;3.93;NO
7.38;194.87;28767.76;5.07;349.99;495.04;14.25;77.09;5.13;NO
8.98;184.31;24967.32;6.26;335.22;485.58;8.28;63.94;4.26;NO
8.53;216.45;30268.42;6.3;330.98;436.16;11.9;55.92;2.38;NO
7.21;176.64;34727.41;5.16;287.71;332.2;10.33;77.26;3.5;NO
;184.67;14368.13;8.13;334.75;472.33;16.07;73.71;4.58;NO
8.9;107.38;27622.75;6.16;460.11;444.93;14;78.35;4.75;NO
6.58;219.18;21961.53;6.99;348.9;341.21;15.18;68.98;3.67;NO
;204.24;14665.4;8.58;360.39;359.62;15.16;58.95;4.38;NO
;160.6;49125.36;6.34;409.5;327.92;14.41;64.64;3.29;NO
5.99;275.89;21229.08;8.94;;354.11;11.78;92.23;5.05;NO
6.84;166.68;28263.8;7.12;318.79;532.18;21.47;78.23;5.09;NO
;157.83;21716.42;5.41;;479;18.93;80.2;3.83;NO
7.15;181.43;33266.57;8.38;373.2;485.11;15.47;52.81;4.78;NO
;237.71;21862.75;8.96;318.17;434.39;11.67;59.78;3.94;NO
7.51;172.5;18328.7;6.91;351.42;377.08;10.68;68.85;3.7;NO
8;214.82;20575.57;6.19;312.01;513.54;17.7;70.29;4.82;NO
5.17;234.33;11746.61;6.96;314.99;407.1;13.77;36.18;3.69;NO
;191.15;23172.28;7.13;290.71;365.14;12.68;69.07;4.02;NO
6.48;180.96;28165.87;7.16;371.41;370.29;16.94;;3.09;NO
7.81;258.89;20911.9;6.36;289.14;421.13;9.63;71.7;4.55;NO
7.44;242.73;20185.59;6.12;306.17;413.66;10.26;64.53;3.87;NO
7.95;178.07;18677.28;5.7;368.22;356.29;18.64;61.46;2.86;NO
6.4;243.72;12278.99;6.79;;489.45;17.64;;4.19;NO
;208.37;22444.09;5.4;338.06;540.9;9.98;84.57;3.59;NO
8.06;191.28;29298.36;6.13;356.65;278.5;12.61;65.51;3.13;NO
;149.84;20283.78;10.01;383.11;355.18;17;53.8;2.03;NO
;220.99;26492.72;4.95;;388.97;21.09;70.27;4.88;NO
9.5;124.48;33681.33;4.81;427.18;530.22;19.97;49.81;5.24;NO
7.98;121.07;40709.78;5.8;445.36;338.51;12.82;59.27;4.57;NO
6.26;270.47;8572.42;9.92;286.33;490.94;12.93;22.22;4.75;NO
6.96;219.24;20215.63;7.05;306.65;431.37;17.43;56.44;4.59;NO
9.66;131.71;24387.97;4.23;;428.91;18.14;65.36;5.27;NO
6.73;197.77;33820.65;7.4;353.18;321.36;19.34;85.37;3.89;NO
4.89;272.92;15496.61;6.99;266.56;569.58;17.3;79.6;3.08;NO
9.61;156.93;33954.44;4.64;;485.38;11.05;;4.96;NO
8.52;128.26;32018.29;6.06;458.44;554.14;15.98;87.47;4.15;NO
6.95;201.81;21709.65;6.12;352.3;417.18;19.68;49.24;4;NO
6.02;170.73;10925.36;8.2;305.8;508.85;12.24;62.97;3.67;NO
9.01;167.92;34865.36;3.14;400.69;385.41;16.57;50.53;4.27;NO
7.95;277.12;24244.11;7.56;273.38;306.84;11.8;70.02;3.04;NO
7.71;189.8;32910.53;5.76;367.76;397.85;15.24;;4.14;NO
6.08;209.06;10120.11;9.41;;410.51;8;101.16;4.01;NO
8.15;191.38;20506.7;5.48;;445.93;9.42;57.36;5.18;NO
8.14;210.38;25433.47;8.39;385.24;321.87;11.48;85.3;4.14;NO
7.7;211.34;12861.95;9.25;347.63;598.66;10.54;91.12;4.73;NO
;149.04;27687.74;8.66;284.95;288.52;15.74;62.76;3.77;NO
9.25;168.04;50279.26;5.91;415.45;400;11.95;62.26;3.3;NO
6.05;177.44;28633.85;8.17;;386.66;15.51;30.56;2.59;NO
6.15;171.13;24978.48;8.22;323.82;406.09;10.88;65.71;4.4;NO
9.07;184.92;21633.72;7.43;394.2;339.36;6.66;;3.84;NO
7.44;167.33;31935.69;7.9;;398.57;14.82;69.25;4.5;NO
;259.67;11949.6;9.44;279;469.29;11.75;74;3.46;NO
7.13;275.68;9480.62;8.42;295.62;383.46;18.32;94.42;1.99;NO
6.79;165.79;17782.6;4.97;307.75;370.6;15.14;96.6;4.04;NO
;230.43;14916.99;9.62;;379.17;28.3;79.63;3.86;NO
8.89;171.84;19113.01;6.5;404.1;399.67;17.62;76.83;2.99;NO
9.48;149.56;32568.15;5.33;;436.2;13.93;71.83;4.7;NO
;168.96;21030.23;5.56;404.34;440.95;12.35;72.03;4.69;NO
7.18;225.12;5097.83;6.08;361.63;294.99;5.54;81.45;4.01;NO
6.16;155.84;25937.71;8.16;298.19;533.29;14.36;68.12;4.77;NO
6.47;236.69;7656.41;9.84;214.46;356.35;14.41;54.64;2.86;NO
;162.94;24916.63;6.37;388.31;494.29;14.3;84.8;4.3;NO
7.49;177.35;24786.05;8.61;369.21;387.87;14.15;48.97;3.47;NO
7.32;184.14;21044.2;6.84;327.26;379.49;8.34;90.31;4.9;NO
;253.66;13568.27;9.23;256.09;554.57;13.71;97.71;3.07;NO
6.53;138.01;19174.59;7.35;;490.64;16.34;;3.18;NO
6.93;156.84;35793.76;7.29;384.65;398.65;17.86;72.24;4.25;NO
7.77;194.73;13829.94;5.6;;321.91;18.87;;3.91;NO
8.11;173.66;27277.58;6.64;354.04;330.21;16.26;;4.65;NO
6.31;220.97;22418.91;7.15;283.98;350.91;19.86;61.84;4.62;NO
;165.74;22900.12;5.74;379.37;473.8;13.08;63.04;4.07;NO
6.61;216.43;17963.87;7.73;346.29;466.1;11.47;41.25;3.59;NO
6.63;232.74;9809.9;8.34;302.33;458.37;13.3;65.32;3.44;NO
;247.16;18939.62;7.09;305.04;419.45;12.76;60.32;4.29;NO
5.72;197.1;12641.53;8.7;287.01;345.08;17.27;58.41;4.08;NO
7.74;182.54;19713.5;8.85;382.34;489.05;8.87;57.88;3.54;NO
6.28;148.19;22916.57;5.04;;474.62;9.6;61.84;3.62;NO
8.01;116.73;45041.15;5.17;;367.69;13.43;87.38;2.4;NO
6.51;185.34;26262.55;6.74;289.01;410.1;12.92;83.65;3.73;NO
6.23;227.56;22195.21;9.46;;351.18;13.04;63.16;3.89;NO
7.28;194.88;18270.11;6.12;344.88;402.66;15.46;76.99;4.93;NO
6.04;211.58;30191.69;7.71;329.17;431.1;10.62;;5.13;NO
6.64;205.23;20511.37;5.91;313.35;455.69;16.02;52.15;3.71;NO
5.15;186.56;18655.54;7.02;;379.54;17.6;58.83;4.15;NO
6.11;166.64;21319.79;7.68;311.25;340.63;13.62;95.49;6.06;NO
7.83;182.47;19130.96;6.8;340.28;433.46;10.79;75.9;3.81;NO
6.98;200.47;30862.78;6.2;391.67;422.49;9.07;48.25;5.44;NO
8.55;217.8;39030.6;6.99;373.75;340.57;19.08;53.86;2.94;NO
6.45;275.75;8607.61;7.7;272.2;384.38;16.08;54.4;3.72;NO
7.39;173.53;20185.68;9.12;384.12;310.07;23.32;81.13;3.78;NO
8.36;218.14;28722.18;5.54;310.29;471.55;10.64;49.77;3.72;NO
7.62;113.5;37279.13;6.36;377.88;285.35;17.03;48.93;3.78;NO
5.4;258.9;10168.18;9.65;248.71;396.91;15.51;65.81;4;NO
7.08;137.01;24282.15;5.71;433.63;342.73;9.11;88.33;5.55;NO
;233.85;32496.64;6.64;347.99;424.65;13.03;55.98;4.3;NO
7.16;238.33;13680.76;9.27;284.41;478.77;16.84;74.38;3.91;NO
6.85;149.85;16203.09;5.73;375.72;350.34;11.72;75.5;4.94;NO
7.31;244.84;22277.63;7.72;369.04;477.24;12.48;60.81;3.71;NO
9.31;133.14;41982.61;6.63;417.25;267.8;10.37;75.44;4.49;NO
;216.27;26964.32;6.38;418.49;573.16;19.89;50.17;4.5;NO
;250.62;30797.52;6.38;;338.81;17.51;74.73;3.37;NO
6.19;249.53;12682.15;6.25;263.27;274.76;14.35;57.62;3.55;NO
;240.98;11429.2;5.52;267.68;323.16;8.67;88.68;3.8;NO
7.97;151.54;25274.61;7.11;352.32;527.69;15.79;52.27;3.39;NO
9.26;160.43;19607.75;3.99;416.7;427.79;14.99;95.8;3.18;NO
7.75;193.45;19019.28;8.11;377.99;597.49;8.94;45.72;3.76;NO
9.39;252.74;13150.21;7.17;;368.83;14.4;50.78;3.05;NO
8.18;201.55;21856.99;5.24;320.26;464.8;15.63;61.65;4.11;NO
8.34;168.47;30969.05;5.45;;302.42;14.53;41.39;3.45;NO
;207.43;11963.32;7.66;325.63;502.05;17.01;64.5;2.81;NO
7.19;151.31;23781.33;9.21;403.79;465.13;16.88;77.52;4.27;NO
8.61;235.94;20862.46;7.62;378.76;418.7;13.61;;3.95;NO
7.79;257.66;17398.39;8.27;251.38;439.7;9.56;54.24;3.39;NO
3.88;177.71;21937.47;7.37;299.24;447.3;12.45;63.16;4.93;NO
;164.32;25236.7;4.37;350.58;413.69;15.42;45.98;3.72;NO
3.98;160.82;14433.78;8.41;311.3;414.33;20.77;78.27;3.75;NO
5.96;241.03;22168.33;6.21;;486.52;13.17;64.72;4.7;NO
7.53;185.51;24454.73;5.79;;393.97;15.07;74.78;3.81;NO
7.23;231.56;16621.49;6.07;;475.82;8.69;35.83;3.68;NO
;202.81;11900.06;8.95;367.53;379.56;13.59;58.82;3.15;NO
;115.39;46077.36;5.29;437.59;422.02;10.81;53.62;4.21;NO
7.48;117.06;28357.94;4.7;414.86;472.06;18.34;76.34;3.71;NO
4.48;236.28;26843.47;4.84;207.89;456.98;16.23;74.04;4.33;NO
;207.39;25110.04;6.33;345.59;420.22;22.35;92.33;2.74;NO
;162.26;28790.55;7.62;377.72;364.27;14.21;99.12;4.48;NO
6.31;124.85;31114.64;5.71;;396.67;18.42;73.1;4.36;NO
;233.69;17317.69;8.95;264.92;311.97;10.75;108.59;4.24;NO
8.82;216.43;27109.24;7.32;;384.02;15.96;78.83;4.42;NO
6.92;185.82;14682.67;9.89;341.07;560.79;22.47;64.4;2.88;NO
;169.67;25541.15;5.46;393.26;359.78;16.82;60.38;3.61;NO
6.9;110.87;32981.26;2.62;368.39;417.25;12.12;33.5;5.06;NO
6.55;176.01;38368.01;7.42;278.09;291.12;19.42;81.37;5.93;NO
6.58;217.54;24480.67;5.84;310.63;476.46;11.43;48.55;3.51;NO
7.86;218.15;23045.73;7.43;349.92;414.37;14.79;72.61;3.59;NO
6.14;151.78;20561.69;8.49;384.16;363.62;13.71;96.58;4.7;NO
6.95;168.88;17540.03;6.41;387.3;372.02;15.2;74.01;2.6;NO
6.2;214.85;29426.47;8.03;369.73;319.77;10.25;65.31;3.49;NO
;240.13;38097.33;5.4;;359.58;13.51;72.77;3.21;NO
8.37;179.52;22022.63;5.22;339.49;396.7;13.7;110.43;2.79;NO
;205.3;12190.17;7.04;313.41;374.52;11.84;47.65;5.03;NO
5.92;200.94;17397.4;6.76;279.2;380.5;11.26;31.97;3.75;NO
8.83;216.12;17732.91;7.86;377.25;301.9;16.21;64.41;4.42;NO
;187.61;13427.07;7.32;;507.57;18.14;79.35;5.32;NO
6.83;164.27;14015.04;6.06;281.68;389.98;14.84;44.37;3.15;NO
9.28;215.91;36622.23;3.9;;383.26;19.03;80.32;4.07;NO
7.46;226.54;9163.29;5.73;;417.13;10.07;67.3;4.28;NO
7.09;172.69;25399.11;6.94;355.25;298.67;13.64;;3.23;NO
5.65;167.03;14547.89;7.74;;347.79;10.69;75.29;5.37;NO
4.29;192.36;24600.76;8.26;261.36;475.88;10.8;53.62;5.11;NO
9.68;188.37;26402.7;4.07;395.9;325;16.92;91.42;3.03;NO
8.66;173.53;20333.08;5.64;439.79;459.63;16.28;89.92;5.12;NO
5.9;172.03;30575.36;8.65;393.55;426.51;16.31;74.54;2.96;NO
9.49;274.83;21879.7;5.27;364.68;581.08;13.64;62.12;3.19;SI
;173.47;18318.72;7.6;282.6;407.64;20.2;79.1;4.18;SI
7.08;185.83;39431.11;8.81;286.22;355.94;7.78;39.62;1.49;SI
7.56;244.29;29567.7;8.65;;278.48;10.05;107.61;4.55;SI
7.04;199.08;22505.52;7.95;;531.48;14.69;58.41;3.93;SI
8.05;211.78;37086.55;8.27;251.44;512.9;19.17;73.25;3.3;SI
7.04;229.6;12575.28;7.84;390.47;558.18;15.75;36.27;4.28;SI
6.31;133.65;31062.37;6.98;252.11;381.06;17.2;71.18;3.6;SI
6.2;139.13;6698.24;3.88;;601.53;13.37;68.3;4.31;SI
6.88;214.73;20509.33;9.04;321.38;306.78;12.48;79.69;4.7;SI
7.75;210.72;18857.06;5.69;376.48;375.67;14.71;43.3;5.13;SI
7.92;201.46;39431.25;7.53;276.21;432.59;17.82;70.24;4.28;SI
6.41;183.87;20526.31;8.45;366.18;548.64;13.45;69.05;4.53;SI
7.8;239.28;27849.14;6.48;356.17;484.1;18.69;50.13;4.25;SI
6.96;180.4;12878.18;6.42;;358.52;16.33;66.3;4.49;SI
6.97;183.93;13401.04;6.46;371.79;433.24;14.58;66.03;4.89;SI
6.62;195.87;13900.72;6.36;387.36;310.85;11.76;52.41;5.61;SI
7.37;236.48;18998.35;7.4;359.93;357.07;18.02;58.27;3.46;SI
;134.31;8076.82;5.32;;599.61;9.25;100.34;3.37;SI
6.94;198.48;16904.2;6.34;299.52;470.6;15.05;61.15;4.24;SI
5.28;148.86;11130.21;6.82;335.66;485.81;13.77;60.94;3.99;SI
6.85;197.34;15349.14;7.45;;373.55;11.37;79.16;4.94;SI
7.76;206.21;34250.16;7.93;299.13;347.18;19.35;80.62;4.59;SI
7.28;228.54;29690.92;7.87;322.27;392.53;15.17;84.37;2.92;SI
6.83;182.45;21670.57;6.41;325.95;397.34;16.51;74.46;2.66;SI
6.73;187.2;26376.06;8.46;337.86;488.98;17.69;77.13;4.59;SI
8.02;255.26;30854.83;8.76;;442.5;11.09;93.27;5.32;SI
6.86;170.83;20464.77;7.07;365.94;400.97;14;51.6;4.49;SI
5.81;157.55;7965.21;6.68;263;377.7;17.4;69.46;3.6;SI
8.46;241.77;29317.14;5.78;313.89;328.58;18.3;84.51;3.83;SI
6.99;224.03;13505.03;5.87;;479.83;15.92;73.06;3.87;SI
7.29;233.98;31617.08;8.53;331.84;490.05;12.23;31.8;3.53;SI
8.12;224.76;16514.61;5.29;;416.6;12.06;91.86;2.53;SI
7.46;215.48;27150.4;7.78;382.96;403.7;14.78;56.96;5.08;SI
7.51;224.47;17895.56;8.64;;472.34;13.85;74.58;3.52;SI
6.42;192.43;19310.06;6.85;;529.73;16.02;62.53;6.07;SI
7.06;178.81;39484.64;8.59;281.39;520.27;10.8;75.85;2.95;SI
;179.76;25703.16;7.29;;311.09;10.24;42.08;1.66;SI
7.43;204.49;18608.94;7.43;318.18;338.94;16.24;94.61;2.56;SI
6.74;209.22;15488.96;7.45;351.05;408.85;13.92;70.21;4.96;SI
7.68;217.79;31150.51;8.02;;594.7;12.19;77.17;3.54;SI
7.04;178.29;25419.77;6.77;316.43;388.34;11.56;73.26;3.1;SI
7.19;212.48;25645.07;8.14;352.87;435.28;8.93;75.6;2.96;SI
6.6;191.79;25039.35;7.29;395.74;501.53;14.7;80.05;4.32;SI
6.91;184.94;16965.31;6.4;351.35;434.35;11.81;77.37;4.69;SI
;169.78;37273.43;8.03;240.9;454.54;18.62;63.52;3.57;SI
;165.89;11566.88;8.33;;369.29;7.4;66.69;3.6;SI
6.28;160.31;17095.27;6.73;305.09;424.45;14.37;41.28;4.46;SI
7.04;210.37;13812.41;8.38;342.5;489.55;14.82;69.19;3.29;SI
7.36;180.87;20430.91;6.66;;437.39;9.68;69.04;3.25;SI
7.37;198.2;28232.02;8.9;289.6;424.45;18.16;31.6;2.72;SI
7.71;189;15456.22;5.05;322.75;523.05;16.09;57.29;4.9;SI
6.5;171.72;20852.76;7.7;282.11;359.46;13.48;83.62;5.4;SI
8.19;240.98;23641.47;6.61;318.69;410.16;13.11;56.91;3.57;SI
6.15;150.56;20596.39;6.91;;431.65;12.83;64.39;4.28;SI
7.08;196.66;36966.85;8.99;294.32;530.05;13.82;85.78;2.66;SI
6.63;215.25;18059.33;6.93;;374.46;11.62;77.94;3.41;SI
4.7;160.21;5128.46;8.28;357.73;344.69;14.22;34.29;4.11;SI
7.98;234.78;15360.84;5.74;377.18;613.63;14.19;48.92;4.75;SI
6.81;179.72;35001.14;8.68;;360.93;13.63;72.72;3.18;SI
;177.69;20325.7;5.85;353.63;279.66;13.96;44.54;4.03;SI
6.97;177.06;22886.97;6.43;315.28;507.79;15.29;35.77;4.82;SI
6.44;166.64;24855.83;9.49;287.41;479.48;10.7;65.66;3.55;SI
6.28;149.56;15751.45;8.26;317.5;605.4;15.22;82.7;5.26;SI
;166.92;21190.15;6.59;285.9;410.69;15.29;75.6;2.51;SI
9.01;225.37;49009.92;6;296.63;445.77;16.25;83.89;4.55;SI
7.78;216.78;35055.62;7.78;306.64;447.17;10.61;36.87;4.82;SI
6.08;155.27;27310.06;7.82;;436.99;12.66;;4.3;SI
7.15;198.15;32680.98;8.97;283.11;531.6;19.81;81.93;4.63;SI
6.75;166.39;22475.09;8.9;317.62;527.46;12.82;55.54;3.31;SI
8.13;231.17;19954.58;5.14;349.07;386.07;15.02;63.34;4.68;SI
;205.24;22613.3;6.49;266.64;313.01;11.62;28.4;3.98;SI
6.34;164.07;26594.35;7.38;338.43;607.1;14.93;113.05;4.58;SI
5.94;175.64;17177.07;10.41;308;402.89;15.15;74.35;4;SI
7.61;246.03;33347.97;8.22;345.81;445.77;10.76;98.37;2.99;SI
6.72;197.62;21043.63;6.63;337.04;641.53;15.55;63.68;4.49;SI
6.87;185.63;13979.38;7.04;375.43;462.54;17.19;74.56;4.35;SI
;142.28;21208.62;9.5;;429.69;16.29;58.96;2.6;SI
7.55;212.26;14319.4;5.79;362.85;450.54;18.18;;4.37;SI
7.37;234.2;15547.19;7.85;364.11;393.25;15.16;64.73;3.39;SI
6.57;187.67;20156.58;7.3;;390.43;12.35;85.21;3.82;SI
6.33;185.44;18506.29;6.57;356.97;366.81;16.44;76.76;3.98;SI
5.89;139.36;11006.05;5.31;339.33;446.49;10.57;89.69;3.31;SI
7.92;197.36;22899.06;8.28;295.35;358.1;12.96;71.69;3.39;SI
6.55;194.28;7412.8;5.84;354.82;361.04;11.67;57.32;4.42;SI
6.8;224;17196.05;7.11;374.31;344.72;15.46;60.15;4.85;SI
;203.05;20106.11;8.68;351.34;346.03;11.56;62.95;4.7;SI
7.18;206.29;25794.95;7.79;321.28;485.25;15.57;49.15;4.74;SI
7.09;206.68;21823.09;5.89;;387.62;17.68;55.02;3.93;SI
7.2;147.71;37308.99;5.68;279.16;395.98;13.33;63.63;3.88;SI
7.78;215.53;38895.36;7.76;342.26;349.43;6.12;65.83;5.43;SI
;209.75;20214.22;6.05;323.79;539.46;20.28;72.74;4.26;SI
7.05;128.48;30569.81;4.45;281.72;348.26;15.14;58.16;2.87;SI
;199.85;12635.37;7.89;332.62;293.83;13.22;54.55;4.48;SI
